Protocol,Packet Type,Traffic Type,Attack Type,Attack Signature,Action Taken,Severity Level,Network Segment,Log Source,Source IP FirstOctet,Destination IP FirstOctet,City,Region,Browser,Operating System,Anomaly Score Category,Packet Length Category
0,1,2,2,1,2,1,0,1,103,84,134,21,0,3,2,1
0,1,2,2,0,0,1,1,0,78,66,60,17,0,3,3,0
2,0,2,0,1,1,1,2,0,63,198,61,20,0,3,0,3
2,1,2,2,1,0,2,1,0,163,101,135,20,0,2,1,1
1,1,0,0,1,0,1,2,0,71,189,20,24,0,3,1,2
2,1,2,2,0,2,2,2,1,198,147,24,15,1,1,1,2
1,1,0,0,1,1,0,0,1,97,77,89,14,1,1,2,1
0,1,0,1,0,2,0,0,0,11,178,229,0,0,2,3,0
1,0,1,1,0,0,0,1,1,49,72,13,24,0,2,3,2
2,1,2,2,1,0,2,0,1,114,160,246,16,0,3,1,3
0,1,2,2,1,1,2,1,1,177,196,98,7,0,2,1,1
1,0,2,2,1,1,1,1,0,92,112,207,16,1,1,0,3
0,0,0,1,0,0,2,1,1,57,98,270,11,1,3,3,3
0,1,2,2,0,1,1,2,0,80,111,104,18,0,3,3,2
2,1,0,2,1,2,0,1,0,54,62,270,13,0,1,3,0
1,1,0,1,1,2,2,2,0,130,12,50,24,1,1,0,1
1,0,2,0,1,1,0,1,1,4,136,275,23,1,3,2,0
1,1,2,0,0,2,1,1,0,212,32,75,16,0,1,2,0
1,0,0,0,1,1,0,2,0,119,47,246,20,0,3,2,3
1,1,2,0,1,1,0,1,1,104,110,4,26,0,2,1,1
0,0,0,2,1,0,2,0,0,116,170,155,27,0,2,0,0
2,0,0,2,1,0,1,2,1,214,196,285,20,0,3,0,1
2,1,0,0,0,2,0,0,1,57,76,99,6,0,3,3,2
2,1,2,2,0,2,2,0,0,46,68,67,4,0,3,0,3
1,0,0,0,0,0,2,2,1,71,105,107,20,0,3,3,2
2,0,0,1,0,2,1,2,0,128,9,101,2,0,3,0,1
2,0,1,2,0,0,0,2,0,182,153,150,0,0,3,0,1
1,0,2,0,0,2,1,0,0,208,121,265,0,0,3,2,3
0,0,2,1,1,0,1,2,0,197,87,275,12,1,1,2,2
2,0,0,1,1,1,2,2,0,69,160,72,23,0,1,2,1
1,0,2,0,1,2,1,2,0,110,172,264,27,0,2,3,2
2,0,2,0,0,1,2,0,0,188,84,104,10,0,3,3,1
1,1,0,2,0,1,2,1,1,99,91,212,24,1,1,1,1
0,0,0,2,0,0,1,1,0,128,4,173,5,0,2,2,0
1,1,1,0,1,1,0,2,1,211,93,218,22,0,2,3,1
0,1,1,1,0,0,1,0,1,203,27,135,25,0,0,3,2
2,0,0,0,1,0,2,2,0,115,72,121,4,0,2,3,2
2,0,1,2,1,2,1,1,1,140,61,253,16,0,0,3,3
1,0,2,2,1,2,2,2,0,76,142,186,6,1,3,2,2
1,0,0,1,0,0,2,0,1,118,109,123,21,0,2,0,3
1,1,0,0,1,1,2,0,0,212,59,55,13,0,2,1,1
2,0,0,0,1,1,1,1,1,6,137,81,25,0,3,1,1
1,0,2,0,1,2,1,0,0,170,21,0,24,0,1,2,2
2,1,1,1,0,0,0,0,1,50,76,89,26,0,3,1,2
2,1,0,2,1,1,0,0,1,194,201,226,20,0,2,2,1
1,1,1,0,1,2,1,0,0,69,85,225,27,1,1,3,0
1,0,0,2,1,0,0,0,0,170,172,16,11,0,2,0,1
0,1,2,1,0,0,0,2,1,107,45,312,3,0,1,0,1
1,0,0,2,0,0,2,2,0,118,43,101,4,0,3,2,2
0,1,2,0,1,1,0,0,0,16,24,210,2,0,3,1,3
0,1,2,0,0,1,1,0,1,122,110,186,8,0,3,3,3
0,1,2,0,1,0,0,1,1,193,191,298,17,0,3,1,0
2,1,0,0,0,0,1,1,0,68,168,271,7,1,1,3,1
1,1,1,1,1,2,0,1,1,19,68,298,3,1,3,3,1
1,1,2,2,0,2,2,2,1,168,211,108,22,0,1,0,2
1,1,1,2,0,2,1,2,0,22,43,48,2,0,3,3,1
2,0,2,1,1,0,1,0,1,163,36,116,25,0,2,2,1
0,1,2,0,1,0,0,2,1,37,204,307,8,0,1,0,3
1,0,2,2,1,1,1,2,1,123,154,44,27,0,3,0,2
0,1,0,1,0,1,0,0,0,158,82,215,16,0,2,3,3
0,1,2,0,0,1,1,0,0,193,189,118,2,0,1,3,0
2,1,2,2,0,2,0,1,1,122,7,175,18,0,2,3,2
2,1,1,0,1,0,1,2,1,64,179,143,6,0,2,2,1
2,1,0,1,0,2,0,1,1,61,167,313,13,0,2,1,0
1,1,0,0,1,1,1,0,1,21,135,272,23,0,3,3,3
